R,Method,Constraint,rel_risk,n
0.1,"StochOptForest
(apx-risk)",yes,1.2601169996366495,400
0.1,"StochOptForest
(apx-risk)",yes,1.2663179222491305,400
0.1,"StochOptForest
(apx-risk)",yes,1.1752823758561508,400
0.1,"StochOptForest
(apx-risk)",yes,1.4681978022226319,400
0.1,"StochOptForest
(apx-risk)",yes,1.1661895224450898,400
0.1,"StochOptForest
(apx-risk)",yes,1.094813349313527,400
0.1,"StochOptForest
(apx-risk)",yes,1.5185116290382612,400
0.1,"StochOptForest
(apx-risk)",yes,1.332976809725365,400
0.1,"StochOptForest
(apx-risk)",yes,1.20358278003006,400
0.1,"StochOptForest
(apx-risk)",yes,1.2789318189796992,400
0.1,"StochOptForest
(apx-risk)",yes,1.3854467702955255,400
0.1,"StochOptForest
(apx-risk)",yes,1.1751284674233577,400
0.1,"StochOptForest
(apx-risk)",yes,1.1961015426152446,400
0.1,"StochOptForest
(apx-risk)",yes,1.185043769062264,400
0.1,"StochOptForest
(apx-risk)",yes,1.7754974614125647,400
0.1,"StochOptForest
(apx-risk)",yes,1.1833389495937023,400
0.1,"StochOptForest
(apx-risk)",yes,1.2622018933221417,400
0.1,"StochOptForest
(apx-risk)",yes,1.3988088255093865,400
0.1,"StochOptForest
(apx-risk)",yes,2.096868869786487,400
0.1,"StochOptForest
(apx-risk)",yes,1.4278785103529315,400
0.1,"StochOptForest
(apx-risk)",yes,1.281222419046555,400
0.1,"StochOptForest
(apx-risk)",yes,1.3742104752172328,400
0.1,"StochOptForest
(apx-risk)",yes,1.2297682683464444,400
0.1,"StochOptForest
(apx-risk)",yes,1.3337708090846423,400
0.1,"StochOptForest
(apx-risk)",no,1.0919184198347207,400
0.1,"StochOptForest
(apx-risk)",no,1.4638843742135623,400
0.1,"StochOptForest
(apx-risk)",no,1.3570318183784513,400
0.1,"StochOptForest
(apx-risk)",no,1.2191064312674573,400
0.1,"StochOptForest
(apx-risk)",no,4.686656060125337,400
0.1,"StochOptForest
(apx-risk)",no,1.1765903462211678,400
0.1,"StochOptForest
(apx-risk)",no,1.1256602596475993,400
0.1,"StochOptForest
(apx-risk)",no,1.2207306676074787,400
0.1,"StochOptForest
(apx-risk)",no,1.7338229918032735,400
0.1,"StochOptForest
(apx-risk)",no,1.3192568435939365,400
