,rf_rf,rf_random,grf,rf_approx_sol,rf_approx_risk,rf_approx_sol_unconstr,rf_approx_risk_unconstr,vanilla,oracle
0,1555.2907293786948,1558.4971730186803,1551.440234471026,1554.383852098699,1551.8398211284525,1552.8040616682376,1554.9545055599874,1557.3734936686328,1512.7797558685595
0,1561.9985025014694,1563.022615010401,1561.4601594531737,1556.4261170133345,1560.9313372639592,1558.14957966507,1559.2679543002857,1557.3914237199463,1521.699183056066
0,1548.8823148161484,1557.4007040558456,1549.6261430581258,1549.1357003165788,1550.1168251020367,1552.08685939605,1551.8799256533318,1557.9056411666559,1515.0950831434716
0,1558.5435157964102,1561.6763831283731,1556.1630333038893,1556.0329991599458,1556.504400473128,1556.0777511191438,1557.1136412758879,1559.0471279180103,1518.7250471934726
0,1564.2598210004096,1560.6320523437507,1558.8905774543298,1561.147285237714,1557.3627328456284,1561.035485583835,1559.183238843398,1563.3263922193587,1520.4485358167556
0,1549.016934375374,1566.4311509398044,1552.7353742004766,1548.978742844179,1552.5394832236236,1554.4121312164605,1558.6267339154365,1552.6656723750982,1513.6672241164126
0,1537.6818025087396,1544.2691411965075,1539.8833278083816,1537.0672170996434,1538.5502419048191,1537.7954809118805,1538.1978679246756,1540.3976458492657,1504.8964968066991
0,1553.2633303654648,1564.5655692113978,1556.8849270328963,1550.9068805178588,1553.9837696819845,1555.1298600817124,1556.3280476994478,1557.3564844159168,1513.9880768859243
0,1545.5096199310615,1541.7695327727022,1541.576789246472,1539.0995355930904,1541.9437887461788,1538.7342350899144,1537.815452170453,1539.9243077225112,1504.3107388809647
0,1561.6895629896876,1558.1220514123763,1553.1415471854373,1553.0681988578194,1556.3788068327972,1553.2616593470475,1553.0125175763544,1553.724853443852,1516.1963035720107
0,1551.7238495997062,1553.8780505952873,1551.5360312273604,1549.9999111980187,1551.626469760043,1553.8375554635513,1555.4167703346502,1553.4807932918823,1514.0004629312277
0,1564.1009190290338,1566.3961702618383,1564.9969650040275,1562.4263573089563,1563.0943820922275,1561.5975884175273,1564.5804947429651,1550.4798656028588,1512.2090293491858
0,1536.5646204155896,1542.5514019594682,1542.1292339321083,1539.831040534467,1539.8287322077867,1541.9265620616088,1540.5436437048206,1543.9098148849398,1508.3093391749142
0,1556.4879888558435,1561.6710613428513,1557.5006695598527,1558.5944286571964,1557.6921920161394,1559.2034243310063,1559.9499533921535,1562.3759067188312,1519.6756046148903
0,1563.4925039173954,1564.0878594728467,1560.32915210482,1559.814936470416,1559.0696250715885,1560.0608785913043,1559.8398145506837,1562.636027511366,1522.7492059338433
0,1533.032218204873,1530.8267559044032,1536.1223248337224,1526.8702032960266,1535.691292353344,1530.6195566280614,1528.3943771921674,1527.792576872686,1491.7100147048493
0,1571.9974698230985,1568.1435575553878,1575.2592182670903,1564.105382338173,1571.6329502621668,1566.3106855578014,1569.6343949401898,1560.2599646898454,1521.2486074709414
0,1539.0643662926084,1541.662875190113,1541.411317692153,1539.2064510312434,1540.3821018000554,1540.2261892540441,1540.511579397636,1542.9665794163082,1506.4923163069495
0,1568.4747762898412,1580.8543385238652,1569.2608586021688,1565.4614071170988,1564.4422195429302,1568.0806343880836,1573.2747124500152,1566.9375044928654,1528.566577785199
0,1551.7224219013785,1566.4345641042473,1551.721439592645,1553.7799664484523,1553.3059710785665,1554.2997439674937,1558.6116155659122,1554.293027692699,1516.0559870826835
0,1546.973106918154,1549.0916230059568,1546.580536899617,1542.394493019367,1548.8997385957607,1544.7999576925827,1547.9088865735164,1547.8641058934543,1507.6251684481908
