,rf_rf,rf_random,grf,rf_approx_sol,rf_approx_risk,rf_approx_sol_unconstr,rf_approx_risk_unconstr,vanilla,oracle
0,1548.530922360339,1550.5453353174478,1548.5019870310282,1546.565663209681,1547.270482922892,1546.291929303725,1547.0948038004988,1553.4817084161107,1513.2615072355923
0,1544.3092332000365,1545.4777871543183,1540.9213612445737,1540.5365616894724,1542.8387864943834,1539.5027868374882,1539.9443205297773,1544.6917467813978,1510.0231057371377
0,1556.0602444715162,1561.9464041335928,1556.296504844302,1556.618379251476,1556.4045272050541,1556.097008862393,1556.9279983146275,1560.51723348609,1522.5923768015316
0,1551.8268342751983,1556.4508549445138,1548.735419586012,1548.930868523185,1549.5896869377418,1549.042533689581,1549.9497547723893,1551.8107477016747,1517.471344197901
0,1549.0475534791758,1552.8192653875215,1551.8007115176085,1551.5511167383986,1550.0879561945637,1550.4684099908795,1550.9274030303889,1558.298770920494,1517.436888109078
0,1560.5577219472084,1562.305914715679,1561.5113413488011,1559.6292772056684,1559.5637399708469,1559.4273276459076,1561.0909937913523,1567.463767278534,1527.1315798430614
0,1558.1758034502882,1553.9239437085398,1555.648748069507,1553.9388212451288,1554.3777898193482,1552.0826716686984,1551.6389107544428,1559.0701721793075,1520.1389992925326
0,1553.4350970116197,1560.1158767272514,1551.3348340876942,1552.6714156408545,1550.6108947344549,1552.3686848446976,1553.2553763122908,1552.5265186421698,1518.1382194891823
0,1560.4923076612267,1556.7053419177134,1554.1165449504044,1555.3099302128096,1553.6627703228678,1552.7000567300881,1554.0880455960157,1556.0739635881928,1521.393101909482
0,1543.700782388528,1545.4184462381693,1540.9317430708943,1541.267056776982,1541.0472683050425,1539.6082407914032,1541.3954593625504,1542.6796317687,1510.2158962595256
0,1552.2172833256095,1553.3046402072553,1550.8842145308147,1549.3186828481641,1549.9115024810794,1549.7454933776655,1550.8680633854128,1555.1935001741733,1516.8721646530767
0,1555.1779525613815,1555.9439850391054,1552.8032587554985,1553.808924759853,1553.5195008062653,1553.1466589409297,1552.656568900413,1556.2150068275184,1520.5613167911397
0,1553.3456940356825,1553.946873846231,1553.3855256217366,1553.194808534067,1552.901601709287,1551.0145666807714,1551.84679062979,1556.6747662425116,1520.2266368823427
0,1552.061923546901,1549.8832475722527,1549.6579718646594,1551.1137176977566,1551.105085793468,1547.7872986888217,1548.0689829817206,1552.2061279663733,1517.1459918138337
0,1555.564997099227,1553.5697264090693,1552.4799835025601,1551.1853691119018,1550.818954435698,1549.8289462286918,1550.4119642764283,1553.5535807652884,1518.271610650716
0,1552.2292777201017,1556.2845336774383,1550.8963830519367,1551.7567639485885,1550.286585778154,1549.6327826902875,1551.3869724505184,1550.5047665202756,1516.3767252744221
0,1557.33528730576,1557.9852779797654,1553.7801774504846,1554.55195980465,1552.133593593809,1551.775491572601,1553.449708338014,1554.152407762263,1522.5079422525507
