,rf_rf,rf_random,grf,rf_approx_sol,rf_approx_risk,rf_approx_sol_unconstr,rf_approx_risk_unconstr,vanilla,oracle
0,1544.0502427057006,1546.5417651471555,1543.734443547686,1542.9125875828881,1543.249530719103,1542.1661442271368,1544.7821138794075,1548.0292525281877,1508.481607457784
0,1554.0803667028758,1557.1775235264513,1553.9733728763397,1552.8794705528228,1553.1711700556655,1554.9162994676315,1553.6822888032098,1557.7929694093646,1517.1002498823727
0,1532.394057220807,1537.8074994066471,1535.0698007389517,1532.6160228113592,1534.5557248557864,1533.689847881207,1533.2277022888272,1535.5291233824025,1501.890573849362
0,1565.2819816126205,1563.663795552628,1562.7703889922352,1560.9421233312842,1562.380104584585,1557.9670849136187,1558.867422163898,1559.3398404662291,1520.1950641897456
0,1553.9028372042517,1557.6031079404602,1557.6138146858277,1554.9299837199487,1554.4075596805778,1554.9845934375373,1556.6131478321183,1557.4245924442891,1519.597773366189
0,1554.5712601558064,1560.8192023943839,1556.0207679784048,1553.432261103525,1555.324011097778,1553.2551878662582,1555.5292981164107,1549.2993486046325,1511.976315827339
0,1561.690362089311,1556.8021897618182,1557.977042803105,1556.5807271523688,1557.9074170138883,1555.8792842325,1555.323136298733,1557.2820924933492,1520.402484614173
0,1555.17719690324,1559.8482485103043,1557.443444350638,1555.4309297657815,1554.9415159785053,1555.543441147832,1555.8952574119464,1555.2720998906493,1516.6899728041196
0,1557.3734467434692,1556.1679894073018,1555.3005695429881,1552.3214752899885,1554.9696499166075,1552.0921857809792,1553.947952183334,1554.98357479012,1518.396491121903
0,1552.748142892908,1556.8038332802012,1551.183924615048,1550.151422747896,1551.1768287605641,1550.5264672209728,1551.4683770909721,1552.7233325202121,1512.1551545359866
0,1560.332954553519,1562.902780708385,1562.6055386459439,1560.913388253869,1562.2303795209511,1560.4124111496724,1561.4737512604654,1563.2778988451655,1524.4493315745303
0,1550.3196799210848,1550.3341321652522,1549.7592409002268,1548.4473769030135,1548.8788448732223,1547.8852532816543,1548.6244660173807,1550.66028613323,1514.848605455081
0,1553.0796582843025,1557.5909615692149,1552.1222853492245,1551.4488415332626,1551.5984403320167,1549.64808068998,1552.6263955280062,1554.1383743704162,1518.5902194839612
0,1550.3453913982341,1549.2036155965318,1547.5009640070598,1549.1488001814519,1549.6722284634066,1545.5376760718286,1545.5782287184531,1548.2761480954287,1510.430723560741
0,1546.714346311901,1549.3242446561055,1549.0445435382794,1546.4908574480096,1546.6333165546055,1545.622719998179,1548.3466338775133,1548.0929745821281,1513.8196609389136
0,1558.4091226504902,1560.1132755545323,1559.0683318709582,1558.1571762563742,1558.187680495395,1559.0645160556955,1559.5714042423913,1559.7867216827558,1521.4627247589533
0,1545.8351153484764,1558.0126462455896,1545.718871326075,1544.8831922797142,1545.7764310827129,1545.8743005101824,1550.1659837035088,1547.7455436417522,1508.8323532095621
0,1556.4864632436263,1557.0764496238562,1555.4211473686423,1554.7900289792005,1554.9592824012877,1554.1177209191135,1555.6381150650489,1556.4340947504602,1519.8514730526426
0,1559.8450504022617,1559.0376084532502,1562.121619881426,1557.4128168372495,1559.4890566227987,1557.1486397422054,1556.2902430929596,1560.9702175526654,1522.3815666839266
0,1560.203856264511,1559.21377388133,1558.804117702767,1557.4243196327002,1557.0360825901855,1557.3958974527893,1557.6828279967165,1559.7709139008948,1520.8019104534571
0,1559.0069118332422,1568.017294801444,1558.1396363611698,1558.0804967361967,1558.0305142703282,1557.2368073230225,1560.9391683721783,1556.1835966051874,1518.7241486326213
0,1555.5568681754537,1553.6347084472777,1555.596010482309,1554.986100425221,1556.0592321628562,1551.982811241966,1552.890098573187,1552.00695239805,1514.190685503774
0,1548.1503914188343,1553.5599090359253,1548.605664486367,1547.3644604651724,1547.9650315094673,1547.3047237486444,1546.6005743156302,1552.1278261934776,1513.9759462924699
0,1557.0239748193928,1560.3722487166533,1556.9959346005978,1557.195153228984,1555.8595768344655,1557.657639594259,1559.0679172180296,1558.236491685874,1519.3503553793798
0,1557.8909905864389,1553.4496631524698,1554.7444874719947,1553.918907802139,1556.0625767606177,1553.904279556949,1552.1944557856805,1554.9336757294625,1519.0028222316432
0,1575.2399580188157,1580.780469199261,1577.9304208625847,1576.8968413657433,1576.6069313463702,1577.4612194655342,1577.9629291207912,1577.6527972460092,1536.1923648078432
0,1556.446766482982,1557.6220838209765,1556.2226592356687,1556.0785538388507,1556.1328772308461,1555.4232659172376,1555.7663742000368,1557.1393374456395,1519.9302052811317
0,1557.6146465167205,1555.6429297323707,1555.5714807767479,1557.791578561824,1557.458407357889,1555.6589080696253,1555.6400596673932,1556.483442067582,1522.4680895643053
0,1563.8857126329303,1564.9462393743597,1564.3257506907023,1562.6619582132078,1564.0815253512037,1564.3443267828386,1563.3025258202574,1562.8211571013055,1525.4839393821678
0,1556.6454712791087,1561.8756256010975,1559.8513131276375,1555.9400838630918,1556.2136425538067,1556.2036800966118,1559.9107452184808,1559.2808027713575,1519.3590253108168
