,rf_rf,rf_random,grf,rf_approx_sol,rf_approx_risk,rf_approx_sol_unconstr,rf_approx_risk_unconstr,vanilla,oracle
0,1542.2771894822133,1544.3993523925542,1542.3209320062167,1541.4211521975335,1541.8563184467293,1541.4044388274315,1541.6784305888718,1548.9392460129873,1513.2550547577694
0,1540.9932278092797,1542.6650410470256,1540.487992043264,1539.5060138557203,1538.9077523715819,1540.444687883427,1542.1416024580317,1545.4567997384406,1510.7226969078367
0,1550.1372816482103,1549.5571572437382,1547.9216869560332,1547.8902457453873,1547.3985004906972,1547.8483256373877,1547.8130988233686,1552.4468503847706,1517.1607583544787
0,1547.3476425399951,1551.627307507929,1546.2627093648634,1547.0835846834345,1545.958783019677,1546.0628414446417,1546.699233179261,1549.0704785091823,1516.4876675187152
0,1537.6860503669834,1543.082592453957,1537.593511572401,1537.4467756485712,1538.0067788407864,1538.5831851936755,1539.6475107021065,1542.7179909250833,1509.1819751865949
0,1547.7194190204307,1548.611855139679,1546.7264314039232,1545.9795234117437,1548.0559924684542,1546.567634086374,1546.352751565825,1552.793170410151,1518.1260181421083
0,1547.3603037140072,1549.800480615346,1548.1117348040354,1546.5779206292495,1546.670028020793,1547.0078600893146,1547.6341212954096,1552.418556555753,1515.4348978030666
0,1543.6566942886966,1546.1127303124783,1540.9134610116116,1541.6340381203568,1541.1790537354705,1540.7327652706408,1543.3242261238613,1544.969515468969,1513.8041411097893
0,1550.695104522105,1557.5881576126417,1548.9483077927648,1551.1095831036996,1548.1420208997088,1549.6251470204224,1551.589182187194,1550.04618006521,1517.4276917591935
0,1543.2121208019707,1547.0388563902793,1542.5795097813098,1542.822588678884,1542.9895529456114,1543.913486569322,1544.5405534321167,1547.1261687193025,1512.0004046695883
0,1548.9871446314644,1552.6065732574236,1549.6031854168098,1549.235836253504,1549.3779979961914,1548.5321081534291,1550.3617148544936,1554.976585184154,1520.8812881057795
