obj_coef,Method,Constraint,rel_risk,n
0,RandForest,no,1.3285740697227972,400
1,"StochOptForest
(apx-soln)",yes,1.3461773593890958,400
1,"StochOptForest
(apx-soln)",yes,1.2342476978399832,400
1,"StochOptForest
(apx-soln)",yes,1.0655796028131992,400
1,"StochOptForest
(apx-soln)",yes,1.2620422812864664,400
1,"StochOptForest
(apx-soln)",yes,1.2629616132544932,400
1,"StochOptForest
(apx-soln)",yes,1.2117852097399928,400
1,"StochOptForest
(apx-soln)",yes,1.377518027837759,400
1,"StochOptForest
(apx-soln)",yes,1.1869017934969586,400
1,"StochOptForest
(apx-soln)",yes,1.3365553694463086,400
1,"StochOptForest
(apx-soln)",yes,1.1752105146082887,400
1,"StochOptForest
(apx-soln)",yes,1.1501483533883317,400
1,"StochOptForest
(apx-soln)",yes,1.2551347560217492,400
1,"StochOptForest
(apx-soln)",yes,1.3378185306015307,400
1,"StochOptForest
(apx-soln)",yes,1.2534577076928954,400
1,"StochOptForest
(apx-soln)",yes,1.1621799419169305,400
1,"StochOptForest
(apx-soln)",yes,1.2521950407812918,400
1,"StochOptForest
(apx-soln)",yes,1.2757139599652376,400
1,"StochOptForest
(apx-soln)",yes,1.2106934913822347,400
1,"StochOptForest
(apx-soln)",yes,1.281825667261923,400
1,"StochOptForest
(apx-soln)",yes,1.2141011863914897,400
1,"StochOptForest
(apx-soln)",yes,1.331781958583649,400
1,"StochOptForest
(apx-soln)",yes,1.259552554585522,400
1,"StochOptForest
(apx-soln)",yes,1.2553187581473233,400
1,"StochOptForest
(apx-soln)",yes,1.2015212045188788,400
1,"StochOptForest
(apx-soln)",yes,1.176927173933937,400
1,"StochOptForest
(apx-soln)",yes,1.2160498258271084,400
1,"StochOptForest
(apx-soln)",yes,1.1876482753775233,400
1,"StochOptForest
(apx-soln)",yes,1.2350006862860514,400
1,"StochOptForest
(apx-soln)",yes,1.1651650130881144,400
1,"StochOptForest
(apx-soln)",yes,1.2729859983034415,400
1,"StochOptForest
(apx-soln)",yes,1.136353458391343,400
1,"StochOptForest
(apx-soln)",yes,1.354705435680337,400
1,"StochOptForest
(apx-soln)",yes,1.1473847293562645,400
1,"StochOptForest
(apx-soln)",yes,1.1742133592905757,400
1,"StochOptForest
(apx-soln)",yes,1.3159051167358238,400
1,"StochOptForest
(apx-soln)",yes,1.3050609054441236,400
1,"StochOptForest
(apx-soln)",yes,1.1588383584971782,400
1,"StochOptForest
(apx-soln)",yes,1.1405849205634824,400
1,"StochOptForest
(apx-soln)",yes,1.2527224136517925,400
1,"StochOptForest
(apx-soln)",yes,1.083315194238485,400
1,"StochOptForest
(apx-soln)",yes,1.2334903023491268,400
1,"StochOptForest
(apx-soln)",yes,1.1052093392407667,400
1,"StochOptForest
(apx-soln)",yes,1.2180245808772705,400
1,"StochOptForest
(apx-soln)",yes,1.353405611031884,400
1,"StochOptForest
(apx-soln)",yes,1.2795101957169712,400
1,"StochOptForest
(apx-soln)",yes,1.162948591874494,400
1,"StochOptForest
(apx-soln)",yes,1.2981168335715105,400
1,"StochOptForest
(apx-soln)",yes,1.4045462508139468,400
1,"StochOptForest
(apx-soln)",yes,1.2261135735376387,400
1,"StochOptForest
(apx-soln)",yes,1.120907889198275,400
1,"StochOptForest
(apx-soln)",no,1.4210127414248013,400
1,"StochOptForest
(apx-soln)",no,1.3308599100241714,400
1,"StochOptForest
(apx-soln)",no,1.2901117599340235,400
1,"StochOptForest
(apx-soln)",no,1.3820603523068855,400
1,"StochOptForest
(apx-soln)",no,1.3524367064950653,400
1,"StochOptForest
(apx-soln)",no,1.4228297852622547,400
1,"StochOptForest
(apx-soln)",no,1.3657621401748463,400
1,"StochOptForest
(apx-soln)",no,1.4166262410983501,400
1,"StochOptForest
(apx-soln)",no,1.3431448118552187,400
1,"StochOptForest
(apx-soln)",no,1.352556183703241,400
1,"StochOptForest
(apx-soln)",no,1.3270147754059252,400
1,"StochOptForest
(apx-soln)",no,1.3788296871002932,400
1,"StochOptForest
(apx-soln)",no,1.4156247545306597,400
1,"StochOptForest
(apx-soln)",no,1.3553316801503996,400
1,"StochOptForest
(apx-soln)",no,1.4037073323643299,400
1,"StochOptForest
(apx-soln)",no,1.3407259912064242,400
1,"StochOptForest
(apx-soln)",no,1.381537647322552,400
1,"StochOptForest
(apx-soln)",no,1.4014882926587255,400
1,"StochOptForest
(apx-soln)",no,1.3523944528511151,400
1,"StochOptForest
(apx-soln)",no,1.3449863301511291,400
1,"StochOptForest
(apx-soln)",no,1.3756083402687505,400
1,"StochOptForest
(apx-soln)",no,1.349174484946636,400
1,"StochOptForest
(apx-soln)",no,1.3140946809253038,400
1,"StochOptForest
(apx-soln)",no,1.3493667332109018,400
1,"StochOptForest
(apx-soln)",no,1.3601708768803438,400
1,"StochOptForest
(apx-soln)",no,1.3817449210228958,400
1,"StochOptForest
(apx-soln)",no,1.4127568771800292,400
1,"StochOptForest
(apx-soln)",no,1.3277921375931971,400
1,"StochOptForest
(apx-soln)",no,1.3524788760018693,400
1,"StochOptForest
(apx-soln)",no,1.3347528913448952,400
1,"StochOptForest
(apx-soln)",no,1.3657415181090335,400
1,"StochOptForest
(apx-soln)",no,1.4084179628747782,400
1,"StochOptForest
(apx-soln)",no,1.3729973410259266,400
1,"StochOptForest
(apx-soln)",no,1.3413529418776569,400
1,"StochOptForest
(apx-soln)",no,1.4062332709335943,400
1,"StochOptForest
(apx-soln)",no,1.3820947945296345,400
1,"StochOptForest
(apx-soln)",no,1.3800359669241933,400
1,"StochOptForest
(apx-soln)",no,1.3744835385466114,400
1,"StochOptForest
(apx-soln)",no,1.3468014564581625,400
1,"StochOptForest
(apx-soln)",no,1.3545373602187667,400
1,"StochOptForest
(apx-soln)",no,1.3526406564319629,400
1,"StochOptForest
(apx-soln)",no,1.3384593439862036,400
1,"StochOptForest
(apx-soln)",no,1.394498670498508,400
1,"StochOptForest
(apx-soln)",no,1.4731674144117608,400
1,"StochOptForest
(apx-soln)",no,1.3857709619902125,400
1,"StochOptForest
(apx-soln)",no,1.471748856422785,400
1,"StochOptForest
(apx-soln)",no,1.387298083120831,400
1,"StochOptForest
(apx-soln)",no,1.411537719331918,400
1,"StochOptForest
(apx-soln)",no,1.3540552377471748,400
1,"StochOptForest
(apx-soln)",no,1.38662625001218,400
1,"StochOptForest
(apx-risk)",yes,1.3008001241904155,400
1,"StochOptForest
(apx-risk)",yes,1.2983774594255537,400
1,"StochOptForest
(apx-risk)",yes,1.1537078102520524,400
1,"StochOptForest
(apx-risk)",yes,1.3481012242342632,400
1,"StochOptForest
(apx-risk)",yes,1.302593912049647,400
1,"StochOptForest
(apx-risk)",yes,1.2718783184810305,400
1,"StochOptForest
(apx-risk)",yes,1.3937617775224018,400
1,"StochOptForest
(apx-risk)",yes,1.2151114502358655,400
1,"StochOptForest
(apx-risk)",yes,1.3402106161723055,400
1,"StochOptForest
(apx-risk)",yes,1.2130130213430004,400
1,"StochOptForest
(apx-risk)",yes,1.192021704311461,400
1,"StochOptForest
(apx-risk)",yes,1.3033255005391784,400
1,"StochOptForest
(apx-risk)",yes,1.3884027105801475,400
1,"StochOptForest
(apx-risk)",yes,1.191947228999641,400
1,"StochOptForest
(apx-risk)",yes,1.154784230930676,400
1,"StochOptForest
(apx-risk)",yes,1.2865662167243856,400
1,"StochOptForest
(apx-risk)",yes,1.3322592377734137,400
1,"StochOptForest
(apx-risk)",yes,1.202763565296016,400
1,"StochOptForest
(apx-risk)",yes,1.2947776416183996,400
1,"StochOptForest
(apx-risk)",yes,1.242440817360654,400
1,"StochOptForest
(apx-risk)",yes,1.3731323750552762,400
1,"StochOptForest
(apx-risk)",yes,1.2733737005057522,400
1,"StochOptForest
(apx-risk)",yes,1.2500975941020283,400
1,"StochOptForest
(apx-risk)",yes,1.2181329871278124,400
1,"StochOptForest
(apx-risk)",yes,1.1985126872726828,400
1,"StochOptForest
(apx-risk)",yes,1.2073821095361559,400
1,"StochOptForest
(apx-risk)",yes,1.1629089115083155,400
1,"StochOptForest
(apx-risk)",yes,1.2581409498352687,400
1,"StochOptForest
(apx-risk)",yes,1.1922590239810187,400
1,"StochOptForest
(apx-risk)",yes,1.2597180257912455,400
1,"StochOptForest
(apx-risk)",yes,1.1551647943137655,400
1,"StochOptForest
(apx-risk)",yes,1.3084900121784178,400
1,"StochOptForest
(apx-risk)",yes,1.2064904229254563,400
1,"StochOptForest
(apx-risk)",yes,1.252002189423124,400
1,"StochOptForest
(apx-risk)",yes,1.3326669008171208,400
1,"StochOptForest
(apx-risk)",yes,1.3333892036443895,400
1,"StochOptForest
(apx-risk)",yes,1.1617499415303214,400
1,"StochOptForest
(apx-risk)",yes,1.1232826035595138,400
1,"StochOptForest
(apx-risk)",yes,1.2567674587784086,400
1,"StochOptForest
(apx-risk)",yes,1.1113807439574606,400
1,"StochOptForest
(apx-risk)",yes,1.2232577248511494,400
1,"StochOptForest
(apx-risk)",yes,1.1476849705965038,400
1,"StochOptForest
(apx-risk)",yes,1.2067531446845312,400
1,"StochOptForest
(apx-risk)",yes,1.3564101045578247,400
1,"StochOptForest
(apx-risk)",yes,1.3427677439916221,400
1,"StochOptForest
(apx-risk)",yes,1.127006126843408,400
1,"StochOptForest
(apx-risk)",yes,1.3619714115782955,400
1,"StochOptForest
(apx-risk)",yes,1.3756126569462068,400
1,"StochOptForest
(apx-risk)",yes,1.2527290041908083,400
1,"StochOptForest
(apx-risk)",yes,1.2095034023963596,400
1,"StochOptForest
(apx-risk)",no,1.431611783151081,400
1,"StochOptForest
(apx-risk)",no,1.3460410307343982,400
1,"StochOptForest
(apx-risk)",no,1.2717318372764588,400
1,"StochOptForest
(apx-risk)",no,1.369179818874335,400
1,"StochOptForest
(apx-risk)",no,1.3521847725610248,400
1,"StochOptForest
(apx-risk)",no,1.4109503867611473,400
1,"StochOptForest
(apx-risk)",no,1.3451165167063446,400
1,"StochOptForest
(apx-risk)",no,1.3913756196385954,400
1,"StochOptForest
(apx-risk)",no,1.3447212097607586,400
1,"StochOptForest
(apx-risk)",no,1.3546218442429532,400
1,"StochOptForest
(apx-risk)",no,1.3233568014374686,400
1,"StochOptForest
(apx-risk)",no,1.3786054832672012,400
1,"StochOptForest
(apx-risk)",no,1.4114888409132857,400
1,"StochOptForest
(apx-risk)",no,1.3355300020724776,400
1,"StochOptForest
(apx-risk)",no,1.3949178416064612,400
1,"StochOptForest
(apx-risk)",no,1.3356434368901513,400
1,"StochOptForest
(apx-risk)",no,1.3785507909568058,400
1,"StochOptForest
(apx-risk)",no,1.3744963379504838,400
1,"StochOptForest
(apx-risk)",no,1.3522471781713528,400
1,"StochOptForest
(apx-risk)",no,1.342778954246595,400
1,"StochOptForest
(apx-risk)",no,1.3659219337997985,400
1,"StochOptForest
(apx-risk)",no,1.3508487356434282,400
1,"StochOptForest
(apx-risk)",no,1.3226478075189558,400
1,"StochOptForest
(apx-risk)",no,1.2979079794099213,400
1,"StochOptForest
(apx-risk)",no,1.3686263039724875,400
1,"StochOptForest
(apx-risk)",no,1.3778808633046697,400
1,"StochOptForest
(apx-risk)",no,1.4042108995456821,400
