n,Method,rel_risk,p
100,"StochOptForest
(oracle)",1.7730358416451313,10
100,"StochOptForest
(oracle)",1.3553045815436948,10
100,"StochOptForest
(oracle)",1.3632420552038442,10
100,"StochOptForest
(oracle)",1.6523947087949111,10
100,"StochOptForest
(oracle)",1.8051770099827738,10
100,"StochOptForest
(oracle)",1.2920012908211824,10
100,"StochOptForest
(oracle)",1.7051360577010952,10
100,"StochOptForest
(oracle)",1.3425165322026982,10
200,"StochOptForest
(apx-soln)",1.3684749399682317,10
200,"StochOptForest
(apx-soln)",1.7081292501103529,10
200,"StochOptForest
(apx-soln)",1.2147478580512554,10
200,"StochOptForest
(apx-soln)",1.900039267514542,10
200,"StochOptForest
(apx-soln)",1.507539301021453,10
200,"StochOptForest
(apx-soln)",1.1865408484693856,10
200,"StochOptForest
(apx-soln)",1.66013634065462,10
200,"StochOptForest
(apx-soln)",1.3056335869479236,10
200,"StochOptForest
(apx-soln)",1.1845155336069517,10
200,"StochOptForest
(apx-soln)",1.4957979129883425,10
200,"StochOptForest
(apx-soln)",1.515922694923836,10
200,"StochOptForest
(apx-soln)",1.3880507350928395,10
200,"StochOptForest
(apx-soln)",1.33411106671567,10
200,"StochOptForest
(apx-soln)",1.4309244151701184,10
200,"StochOptForest
(apx-soln)",1.164839333742561,10
200,"StochOptForest
(apx-soln)",1.4067151553081296,10
200,"StochOptForest
(apx-soln)",1.4831638241554859,10
200,"StochOptForest
(apx-soln)",1.291122508218731,10
200,"StochOptForest
(apx-soln)",1.218061150239974,10
200,"StochOptForest
(apx-soln)",1.3475785943268328,10
200,"StochOptForest
(apx-soln)",1.58676918801709,10
200,"StochOptForest
(apx-soln)",1.1787537047992118,10
200,"StochOptForest
(apx-soln)",1.0801060985207438,10
200,"StochOptForest
(apx-soln)",1.225044015893608,10
200,"StochOptForest
(apx-soln)",1.4498925123847377,10
200,"StochOptForest
(apx-soln)",1.213990327027683,10
200,"StochOptForest
(apx-soln)",1.1247794096489376,10
200,"StochOptForest
(apx-soln)",1.2448195838142706,10
200,"StochOptForest
(apx-soln)",1.1908652840095726,10
200,"StochOptForest
(apx-soln)",1.2687826384920695,10
200,"StochOptForest
(apx-soln)",1.8830593024778988,10
200,"StochOptForest
(apx-soln)",1.1448839922968734,10
200,"StochOptForest
(apx-soln)",1.3131824114596822,10
200,"StochOptForest
(apx-soln)",1.5802914084552742,10
200,"StochOptForest
(apx-soln)",1.1894614919163038,10
200,"StochOptForest
(apx-soln)",1.3184791270223746,10
200,"StochOptForest
(apx-soln)",1.2284030937233088,10
200,"StochOptForest
(apx-soln)",1.1477794821760903,10
200,"StochOptForest
(apx-soln)",1.2572321146244796,10
200,"StochOptForest
(apx-soln)",1.3820092862381408,10
200,"StochOptForest
(apx-soln)",1.6668249559785449,10
200,"StochOptForest
(apx-soln)",1.196130650786719,10
200,"StochOptForest
(apx-soln)",1.2718965080247508,10
200,"StochOptForest
(apx-soln)",1.2591587651201668,10
200,"StochOptForest
(apx-soln)",1.3672226738625863,10
200,"StochOptForest
(apx-soln)",1.6449550810164486,10
200,"StochOptForest
(apx-soln)",1.275437625204873,10
200,"StochOptForest
(apx-soln)",1.4381910890898104,10
200,"StochOptForest
(apx-soln)",2.064442125663436,10
200,"StochOptForest
(apx-soln)",1.2483945849188387,10
200,"StochOptForest
(apx-risk)",1.4502469172587016,10
200,"StochOptForest
(apx-risk)",1.7637364856409379,10
200,"StochOptForest
(apx-risk)",1.2532121835233971,10
