p,Method,rel_risk
5,10-NN,1.4122977999855422
5,10-NN,1.8067751033775197
5,10-NN,1.6892807620586838
5,10-NN,1.3619246769128193
5,10-NN,1.3949933716952627
5,10-NN,1.437198588427956
5,10-NN,1.5050276686339064
5,50-NN,1.5105318585290533
5,50-NN,1.4015885042626863
5,50-NN,1.2852210200402556
5,50-NN,1.2335927860216032
5,50-NN,2.0280814022726514
5,50-NN,1.604003691065141
5,50-NN,1.2973831287353959
5,50-NN,1.4386804860202038
5,50-NN,1.6155618292164082
5,50-NN,1.522746934085364
5,50-NN,1.3096563393186973
5,50-NN,1.2114074398841794
5,50-NN,1.4849789912608333
5,50-NN,1.3094825978075475
5,50-NN,1.1781654515695499
5,50-NN,1.8785884500970227
5,50-NN,1.2132809888527265
5,50-NN,1.2736882965031366
5,50-NN,1.3744590967950356
5,50-NN,1.5766289382261358
5,50-NN,1.9754266822766413
5,50-NN,1.2863482560713035
5,50-NN,1.3828031788246322
5,50-NN,1.8635911090928359
5,50-NN,1.3436081654776353
5,50-NN,1.5784458273558564
5,50-NN,1.657692720980922
5,50-NN,1.522461136895808
5,50-NN,1.3439564738670433
5,50-NN,1.44447365136293
5,50-NN,1.344902820218994
5,50-NN,1.3773422222234206
5,50-NN,1.3620372364788034
5,50-NN,1.4046567911394146
5,50-NN,1.873086149088205
5,50-NN,1.1843149367424985
5,50-NN,1.297602425284154
5,50-NN,1.4700351975905384
5,50-NN,1.4222156981517677
5,50-NN,1.1910878821692705
5,50-NN,1.5210996882139234
5,50-NN,1.3688347988725096
5,50-NN,1.4211627298369731
5,50-NN,1.2163110171072222
5,50-NN,1.5895893036377147
5,50-NN,1.4926220157939296
5,50-NN,1.420027273167921
5,50-NN,1.285804762314732
5,50-NN,1.4109161219491937
5,50-NN,1.2886775031997866
10,RandSplitForest,1.5717040449216464
10,RandSplitForest,2.1802287122428265
10,RandSplitForest,1.7680741593252798
10,RandSplitForest,1.769305250114883
10,RandSplitForest,1.6485949277684375
10,RandSplitForest,1.8211916662883836
10,RandSplitForest,1.997942350010736
10,RandSplitForest,2.0971772729512583
10,RandSplitForest,2.2883546001842876
10,RandSplitForest,1.6415699927975664
10,RandSplitForest,1.9791671737386725
10,RandSplitForest,2.0650114931337575
10,RandSplitForest,2.137012371028304
10,RandSplitForest,1.759207159340541
10,RandSplitForest,1.8123757896390669
10,RandSplitForest,1.9004398236102356
10,RandSplitForest,2.5731648251655015
10,RandSplitForest,1.942768557011205
10,RandSplitForest,1.6685853175386933
10,RandSplitForest,1.8290402198174947
10,RandSplitForest,1.828018886160603
10,RandSplitForest,1.8917488591391316
10,RandSplitForest,1.9233782161087702
10,RandSplitForest,1.8077847337919088
10,RandSplitForest,2.2951254270383883
10,RandSplitForest,2.1525405724448556
10,RandSplitForest,1.9291782540521953
10,RandSplitForest,1.727404035020741
10,RandSplitForest,1.6783105503572466
10,RandSplitForest,1.9845720425165096
10,RandSplitForest,1.9415430371644418
10,RandSplitForest,2.5317209747084
10,RandSplitForest,2.1165344295527038
10,RandSplitForest,2.0052946347915355
10,RandSplitForest,2.0676923262756444
10,RandSplitForest,2.0360074968815893
10,RandSplitForest,1.770874714556414
10,RandSplitForest,1.9125309786161928
10,RandSplitForest,2.164602448927254
10,RandSplitForest,1.7502032478796543
10,RandSplitForest,1.7230105208125863
10,RandSplitForest,1.7425765380477374
10,RandSplitForest,1.9824102788680336
10,RandSplitForest,2.442938273733853
10,RandSplitForest,1.7704340161561376
10,RandSplitForest,1.7924194720960671
10,RandSplitForest,1.7555471826431153
10,RandSplitForest,2.1099047546218372
10,RandSplitForest,1.672425069894439
10,RandSplitForest,1.9736756751146682
10,"StochOptForest
(apx-soln)",1.0670923935094
10,"StochOptForest
(apx-soln)",1.1320141669058916
10,"StochOptForest
(apx-soln)",1.1270981522199592
10,"StochOptForest
(apx-soln)",1.0593866575889876
10,"StochOptForest
(apx-soln)",1.1114160268013016
10,"StochOptForest
(apx-soln)",1.107690675350179
10,"StochOptForest
(apx-soln)",1.1083815791810612
10,"StochOptForest
(apx-soln)",1.3328228965747027
10,"StochOptForest
(apx-soln)",1.399010819122394
10,"StochOptForest
(apx-soln)",1.1091571558396072
10,"StochOptForest
(apx-soln)",1.3083152658076969
10,"StochOptForest
(apx-soln)",1.2592309179255292
10,"StochOptForest
(apx-soln)",1.2183865929246114
10,"StochOptForest
(apx-soln)",1.1825340402351077
10,"StochOptForest
(apx-soln)",1.1019814347257966
10,"StochOptForest
(apx-soln)",1.2839092052121108
10,"StochOptForest
(apx-soln)",1.518914753733714
10,"StochOptForest
(apx-soln)",1.25184340640063
10,"StochOptForest
(apx-soln)",1.1460179635946797
10,"StochOptForest
(apx-soln)",1.1674678300774157
10,"StochOptForest
(apx-soln)",1.0732671923420967
10,"StochOptForest
(apx-soln)",1.1506247970266505
10,"StochOptForest
(apx-soln)",1.2515309838020896
10,"StochOptForest
(apx-soln)",1.0836782589751404
10,"StochOptForest
(apx-soln)",1.3896007678521822
10,"StochOptForest
(apx-soln)",1.2742361369518413
10,"StochOptForest
(apx-soln)",1.1870036799526262
10,"StochOptForest
(apx-soln)",1.0907267406755423
10,"StochOptForest
(apx-soln)",1.094745758127455
10,"StochOptForest
(apx-soln)",1.3007704851825044
10,"StochOptForest
(apx-soln)",1.2078728330406445
10,"StochOptForest
(apx-soln)",1.7360265021550787
10,"StochOptForest
(apx-soln)",1.14967092444809
10,"StochOptForest
(apx-soln)",1.1068924800533
10,"StochOptForest
(apx-soln)",1.1120519382929994
10,"StochOptForest
(apx-soln)",1.1832931652649228
10,"StochOptForest
(apx-soln)",1.08945307413319
10,"StochOptForest
(apx-soln)",1.1328932903879445
10,"StochOptForest
(apx-soln)",1.3171684759666127
10,"StochOptForest
(apx-soln)",1.0931281758107458
10,"StochOptForest
(apx-soln)",1.097427943774927
10,"StochOptForest
(apx-soln)",1.2163204619040686
10,"StochOptForest
(apx-soln)",1.1840626698509378
10,"StochOptForest
(apx-soln)",1.2883106251444807
10,"StochOptForest
(apx-soln)",1.144498228963912
10,"StochOptForest
(apx-soln)",1.1238732689216429
10,"StochOptForest
(apx-soln)",1.0599552357623392
10,"StochOptForest
(apx-soln)",1.2298654306193224
10,"StochOptForest
(apx-soln)",1.0866445458509912
10,"StochOptForest
(apx-soln)",1.1655131496434088
10,"StochOptForest
(apx-risk)",1.1180693405510997
10,"StochOptForest
(apx-risk)",1.1372512134535646
10,"StochOptForest
(apx-risk)",1.1657642905408248
10,"StochOptForest
(apx-risk)",1.085569816458749
10,"StochOptForest
(apx-risk)",1.1292746693031874
10,"StochOptForest
(apx-risk)",1.1472066661393485
10,"StochOptForest
(apx-risk)",1.1135404789911505
10,"StochOptForest
(apx-risk)",1.3270116769823779
10,"StochOptForest
(apx-risk)",1.3679730251219808
10,"StochOptForest
(apx-risk)",1.1582261551165733
10,"StochOptForest
(apx-risk)",1.2969466796147593
10,"StochOptForest
(apx-risk)",1.2847427146608825
10,"StochOptForest
(apx-risk)",1.235251560236532
10,"StochOptForest
(apx-risk)",1.1777582271001954
10,"StochOptForest
(apx-risk)",1.0840821458517897
10,"StochOptForest
(apx-risk)",1.2568153597946168
10,"StochOptForest
(apx-risk)",1.5181477739852884
10,"StochOptForest
(apx-risk)",1.2718386062885194
10,"StochOptForest
(apx-risk)",1.097893985724166
10,"StochOptForest
(apx-risk)",1.1586878802211307
10,"StochOptForest
(apx-risk)",1.0821017517697893
10,"StochOptForest
(apx-risk)",1.1959691794742413
10,"StochOptForest
(apx-risk)",1.2799305775128982
10,"StochOptForest
(apx-risk)",1.087717928729395
10,"StochOptForest
(apx-risk)",1.2399202810245378
10,"StochOptForest
(apx-risk)",1.2856187902341674
10,"StochOptForest
(apx-risk)",1.2003424026707785
10,"StochOptForest
(apx-risk)",1.1177077276049792
10,"StochOptForest
(apx-risk)",1.1238727714438115
10,"StochOptForest
(apx-risk)",1.3069964215050331
10,"StochOptForest
(apx-risk)",1.2223716637871955
10,"StochOptForest
(apx-risk)",1.7598538992694097
10,"StochOptForest
(apx-risk)",1.2131484449064647
10,"StochOptForest
(apx-risk)",1.106331352174792
10,"StochOptForest
(apx-risk)",1.1371513752298847
10,"StochOptForest
(apx-risk)",1.1879380575517922
10,"StochOptForest
(apx-risk)",1.0991035650379317
10,"StochOptForest
(apx-risk)",1.1430583837315433
